DATE,RRSFS_PC1,RSALES_PC1
1948-01-01,.,3.02432
1948-02-01,.,0.51961
1948-03-01,.,5.61423
1948-04-01,.,4.17349
1948-05-01,.,-0.63413
1948-06-01,.,0.56415
1948-07-01,.,0.64793
1948-08-01,.,2.57775
1948-09-01,.,0.30292
1948-10-01,.,-0.15757
1948-11-01,.,-1.29926
1948-12-01,.,2.13023
1949-01-01,.,-0.65113
1949-02-01,.,1.28904
1949-03-01,.,-0.15779
1949-04-01,.,0.29086
1949-05-01,.,3.33612
1949-06-01,.,1.65479
1949-07-01,.,0.53972
1949-08-01,.,0.90872
1949-09-01,.,2.82238
1949-10-01,.,1.80305
1949-11-01,.,2.67609
1949-12-01,.,-1.03339
1950-01-01,.,5.76489
1950-02-01,.,5.74302
1950-03-01,.,5.64241
1950-04-01,.,4.65092
1950-05-01,.,6.62081
1950-06-01,.,10.05689
1950-07-01,.,18.97853
1950-08-01,.,17.71196
1950-09-01,.,10.38585
1950-10-01,.,7.11844
1950-11-01,.,3.62227
1950-12-01,.,10.68737
1951-01-01,.,13.29299
1951-02-01,.,8.26172
1951-03-01,.,1.63345
1951-04-01,.,-0.53606
1951-05-01,.,-1.36217
1951-06-01,.,-4.38116
1951-07-01,.,-11.49002
1951-08-01,.,-9.45414
1951-09-01,.,-5.35424
1951-10-01,.,-0.91989
1951-11-01,.,1.51852
1951-12-01,.,-5.91481
1952-01-01,.,-10.05214
1952-02-01,.,-5.42294
1952-03-01,.,-2.88022
1952-04-01,.,1.36669
1952-05-01,.,4.74436
1952-06-01,.,6.08625
1952-07-01,.,3.60521
1952-08-01,.,-0.92700
1952-09-01,.,2.11763
1952-10-01,.,5.26842
1952-11-01,.,4.45729
1952-12-01,.,9.55710
1953-01-01,.,9.73154
1953-02-01,.,7.10621
1953-03-01,.,11.01258
1953-04-01,.,6.83961
1953-05-01,.,2.57501
1953-06-01,.,0.74051
1953-07-01,.,3.88879
1953-08-01,.,5.30485
1953-09-01,.,3.13336
1953-10-01,.,-1.01882
1953-11-01,.,-0.99950
1953-12-01,.,-4.54979
1954-01-01,.,-5.52497
1954-02-01,.,-3.33686
1954-03-01,.,-3.84481
